Player,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,FPts,FPts/G,Week
Bears,1,1,0,2,0,17,211,76,0,0,5,5,16
Seahawks,1,3,0,1,0,9,234,118,0,0,5,5,16
Rams,1,5,0,0,0,20,225,95,0,0,5,5,16
Dolphins,1,3,1,0,0,25,336,104,0,0,5,5,16
Falcons,1,0,0,2,0,17,278,117,0,0,4,4,16
Eagles,1,2,0,1,0,37,377,151,0,0,4,4,16
Vikings,1,0,0,2,0,52,319,264,0,0,4,4,16
Bills,1,3,0,0,0,9,78,145,0,0,3,3,16
Jaguars,1,1,0,1,0,41,265,128,0,0,3,3,16
Raiders,1,3,0,0,0,26,276,130,0,0,3,3,16
Bengals,1,1,1,0,0,31,324,166,0,0,3,3,16
Titans,1,1,0,1,0,40,231,234,0,0,3,3,16
Saints,1,2,0,0,0,33,291,90,0,0,2,2,16
Giants,1,0,1,0,0,27,183,249,0,0,2,2,16
Browns,1,2,0,0,0,23,218,131,0,0,2,2,16
Broncos,1,2,0,0,0,19,253,89,0,0,2,2,16
Colts,1,1,0,0,0,28,342,20,0,0,1,1,16
Patriots,1,0,0,0,0,38,344,130,0,0,0,0,16
Texans,1,0,0,0,0,37,371,169,0,0,0,0,16
Bills,1,1,1,3,1,26,393,70,0,1,21,21,17
Rams,1,4,0,1,1,7,192,48,1,0,14,14,17
Saints,1,3,0,5,0,7,271,74,0,0,13,13,17
Broncos,1,3,2,2,0,32,371,106,0,0,11,11,17
Football Team,1,3,1,2,0,14,119,118,0,0,9,9,17
Giants,1,6,0,1,0,19,243,108,0,0,8,8,17
Colts,1,6,1,0,0,14,261,53,0,0,8,8,17
Patriots,1,3,0,2,0,14,266,111,0,0,7,7,17
Eagles,1,3,0,2,0,20,162,103,0,0,7,7,17
Cardinals,1,2,1,1,0,18,231,110,0,0,6,6,17
Cowboys,1,2,1,1,0,23,229,125,0,0,6,6,17
Titans,1,4,0,1,0,38,385,96,0,0,6,6,17
Packers,1,1,1,1,0,16,252,108,0,0,5,5,17
Chargers,1,1,1,0,0,21,218,51,1,0,5,5,17
Seahawks,1,3,1,0,0,23,273,86,0,0,5,5,17
Buccaneers,1,1,2,0,0,27,265,127,0,0,5,5,17
Dolphins,1,1,0,2,0,56,388,78,0,0,5,5,17
Vikings,1,1,1,1,0,35,293,129,0,0,5,5,17
Texans,1,2,1,0,0,41,216,288,0,0,4,4,17
Ravens,1,0,0,2,0,3,48,147,0,0,4,4,17
Steelers,1,4,0,0,0,24,196,192,0,0,4,4,17
Jets,1,3,0,0,0,28,261,166,0,0,3,3,17
Chiefs,1,3,0,0,0,38,302,135,0,0,3,3,17
Bears,1,1,1,0,0,35,240,79,0,0,3,3,17
Browns,1,1,0,1,0,22,317,85,0,0,3,3,17
Lions,1,3,0,0,0,37,405,125,0,0,3,3,17
Jaguars,1,0,0,1,0,28,164,273,0,0,2,2,17
Panthers,1,2,0,0,0,33,201,156,0,0,2,2,17
Raiders,1,2,0,0,0,31,339,122,0,0,2,2,17
49ers,1,2,0,0,0,26,181,121,0,0,2,2,17
Bengals,1,0,0,1,0,38,121,404,0,0,2,2,17
Falcons,1,1,0,0,0,44,399,94,0,0,1,1,17
