Player,Team,G,FGM,FGA,FG%,EPM,EPA,FPts,FPts/G,Week
Mason Crosby,GB,1,2,2,100.0%,5,5,11.0,11.0,1
Harrison Butker,KC,1,2,2,100.0%,4,4,10.0,10.0,1
Daniel Carlson,LV,1,2,2,100.0%,4,4,10.0,10.0,1
Wil Lutz,NO,1,2,2,100.0%,4,4,10.0,10.0,1
Matt Prater,DET,1,3,4,75.0%,2,2,10.0,10.0,1
Joey Slye,CAR,1,3,3,100.0%,1,2,10.0,10.0,1
Mike Badgley,LAC,1,3,4,75.0%,1,1,9.0,9.0,1
Josh Lambo,JAC,1,2,2,100.0%,3,3,9.0,9.0,1
Cairo Santos,CHI,1,2,2,100.0%,3,3,9.0,9.0,1
Chris Boswell,PIT,1,2,2,100.0%,2,3,8.0,8.0,1
Robbie Gould,SF,1,2,2,100.0%,2,2,8.0,8.0,1
Dustin Hopkins,WAS,1,2,3,66.7%,3,3,8.0,8.0,1
Jason Myers,SEA,1,1,1,100.0%,5,5,8.0,8.0,1
Justin Tucker,BAL,1,1,1,100.0%,5,5,8.0,8.0,1
Tyler Bass,BUF,1,2,4,50.0%,3,3,7.0,7.0,1
Rodrigo Blankenship,IND,1,2,3,66.7%,2,2,7.0,7.0,1
Younghoe Koo,ATL,1,2,2,100.0%,1,2,7.0,7.0,1
Sam Sloman,LAR,1,2,3,66.7%,2,2,7.0,7.0,1
Randy Bullock,CIN,1,2,3,66.7%,1,1,6.0,6.0,1
Sam Ficken,NYJ,1,1,1,100.0%,2,2,5.0,5.0,1
Dan Bailey,MIN,1,1,1,100.0%,1,1,4.0,4.0,1
Jake Elliott,PHI,1,1,2,50.0%,2,2,4.0,4.0,1
Graham Gano,NYG,1,1,1,100.0%,1,1,4.0,4.0,1
Zane Gonzalez,ARI,1,1,3,33.3%,3,3,4.0,4.0,1
Ryan Succop,TB,1,1,2,50.0%,2,2,4.0,4.0,1
Greg Zuerlein,DAL,1,1,2,50.0%,2,2,4.0,4.0,1
Jason Sanders,MIA,1,1,1,100.0%,0,0,3.0,3.0,1
Nick Folk,NE,1,0,1,0.0%,3,3,2.0,2.0,1
Brandon McManus,DEN,1,0,0,0.0%,2,2,2.0,2.0,1
Ka'imi Fairbairn,HOU,1,0,1,0.0%,2,2,1.0,1.0,1
Stephen Gostkowski,TEN,1,1,4,25.0%,1,2,1.0,1.0,1
Austin Seibert,CLE,1,0,1,0.0%,0,1,-1.0,-1.0,1
Younghoe Koo,ATL,1,4,4,100.0%,3,3,15.0,15.0,2
Justin Tucker,BAL,1,4,4,100.0%,3,3,15.0,15.0,2
Rodrigo Blankenship,IND,1,4,4,100.0%,2,2,14.0,14.0,2
Randy Bullock,CIN,1,3,3,100.0%,3,3,12.0,12.0,2
Zane Gonzalez,ARI,1,3,3,100.0%,3,3,12.0,12.0,2
Daniel Carlson,LV,1,2,2,100.0%,4,4,10.0,10.0,2
Mason Crosby,GB,1,2,2,100.0%,4,4,10.0,10.0,2
Ka'imi Fairbairn,HOU,1,3,3,100.0%,1,1,10.0,10.0,2
Greg Zuerlein,DAL,1,2,2,100.0%,4,4,10.0,10.0,2
Harrison Butker,KC,1,3,3,100.0%,0,1,9.0,9.0,2
Stephen Gostkowski,TEN,1,2,2,100.0%,3,4,9.0,9.0,2
Mike Badgley,LAC,1,2,2,100.0%,2,2,8.0,8.0,2
Jason Sanders,MIA,1,2,2,100.0%,2,2,8.0,8.0,2
Tyler Bass,BUF,1,1,1,100.0%,4,4,7.0,7.0,2
Jake Elliott,PHI,1,2,2,100.0%,1,1,7.0,7.0,2
Sam Ficken,NYJ,1,2,2,100.0%,1,1,7.0,7.0,2
Robbie Gould,SF,1,1,1,100.0%,4,4,7.0,7.0,2
Sam Sloman,LAR,1,1,1,100.0%,4,5,7.0,7.0,2
Ryan Succop,TB,1,1,1,100.0%,4,4,7.0,7.0,2
Chris Boswell,PIT,1,1,1,100.0%,3,3,6.0,6.0,2
Graham Gano,NYG,1,2,3,66.7%,1,1,6.0,6.0,2
Josh Lambo,JAC,1,1,1,100.0%,3,4,6.0,6.0,2
Wil Lutz,NO,1,1,1,100.0%,3,3,6.0,6.0,2
Brandon McManus,DEN,1,2,3,66.7%,1,1,6.0,6.0,2
Nick Folk,NE,1,1,2,50.0%,3,3,5.0,5.0,2
Jason Myers,SEA,1,0,0,0.0%,5,5,5.0,5.0,2
Cody Parkey,CLE,1,0,0,0.0%,5,5,5.0,5.0,2
Joey Slye,CAR,1,1,1,100.0%,2,2,5.0,5.0,2
Cairo Santos,CHI,1,1,2,50.0%,2,2,4.0,4.0,2
Dan Bailey,MIN,1,1,1,100.0%,0,0,3.0,3.0,2
Dustin Hopkins,WAS,1,1,1,100.0%,0,0,3.0,3.0,2
Matt Prater,DET,1,0,1,0.0%,3,3,2.0,2.0,2
Stephen Gostkowski,TEN,1,6,6,100.0%,1,1,19.0,19.0,3
Joey Slye,CAR,1,5,5,100.0%,0,1,15.0,15.0,3
Matt Prater,DET,1,4,4,100.0%,2,2,14.0,14.0,3
Mason Crosby,GB,1,3,3,100.0%,4,4,13.0,13.0,3
Nick Folk,NE,1,3,3,100.0%,3,4,12.0,12.0,3
Wil Lutz,NO,1,3,3,100.0%,3,3,12.0,12.0,3
Randy Bullock,CIN,1,3,3,100.0%,2,2,11.0,11.0,3
Jake Elliott,PHI,1,3,3,100.0%,2,2,11.0,11.0,3
Robbie Gould,SF,1,3,4,75.0%,3,3,11.0,11.0,3
Cody Parkey,CLE,1,2,2,100.0%,4,4,10.0,10.0,3
Rodrigo Blankenship,IND,1,2,3,66.7%,4,4,9.0,9.0,3
Graham Gano,NYG,1,3,3,100.0%,0,0,9.0,9.0,3
Chris Boswell,PIT,1,2,2,100.0%,2,2,8.0,8.0,3
Ryan Succop,TB,1,2,2,100.0%,2,3,8.0,8.0,3
Justin Tucker,BAL,1,2,2,100.0%,2,2,8.0,8.0,3
Daniel Carlson,LV,1,2,3,66.7%,2,2,7.0,7.0,3
Younghoe Koo,ATL,1,2,3,66.7%,2,3,7.0,7.0,3
Jason Sanders,MIA,1,1,1,100.0%,4,4,7.0,7.0,3
Greg Zuerlein,DAL,1,2,2,100.0%,1,3,7.0,7.0,3
Dan Bailey,MIN,1,1,2,50.0%,3,3,5.0,5.0,3
Tyler Bass,BUF,1,0,0,0.0%,5,5,5.0,5.0,3
Zane Gonzalez,ARI,1,1,1,100.0%,2,3,5.0,5.0,3
Cairo Santos,CHI,1,1,2,50.0%,3,3,5.0,5.0,3
Sam Sloman,LAR,1,1,2,50.0%,3,3,5.0,5.0,3
Mike Badgley,LAC,1,1,1,100.0%,1,1,4.0,4.0,3
Brandon McManus,DEN,1,1,1,100.0%,1,1,4.0,4.0,3
Jason Myers,SEA,1,0,0,0.0%,4,4,4.0,4.0,3
Harrison Butker,KC,1,0,1,0.0%,4,5,3.0,3.0,3
Ka'imi Fairbairn,HOU,1,0,0,0.0%,3,3,3.0,3.0,3
Dustin Hopkins,WAS,1,0,0,0.0%,2,3,2.0,2.0,3
Sam Ficken,NYJ,1,0,0,0.0%,1,1,1.0,1.0,3
Brandon Wright,JAC,1,0,0,0.0%,1,2,1.0,1.0,3
Sam Ficken,NYJ,1,5,5,100.0%,1,1,16.0,16.0,4
Randy Bullock,CIN,1,4,4,100.0%,3,3,15.0,15.0,4
Jason Sanders,MIA,1,5,5,100.0%,0,0,15.0,15.0,4
Rodrigo Blankenship,IND,1,4,4,100.0%,1,1,13.0,13.0,4
Brandon McManus,DEN,1,3,3,100.0%,4,4,13.0,13.0,4
Aldrick Rosas,JAC,1,4,5,80.0%,1,1,12.0,12.0,4
Daniel Carlson,LV,1,3,3,100.0%,2,2,11.0,11.0,4
Ka'imi Fairbairn,HOU,1,3,3,100.0%,2,2,11.0,11.0,4
Cody Parkey,CLE,1,2,2,100.0%,5,5,11.0,11.0,4
Graham Gano,NYG,1,3,3,100.0%,0,0,9.0,9.0,4
Harrison Butker,KC,1,2,2,100.0%,2,3,8.0,8.0,4
Jason Myers,SEA,1,1,1,100.0%,4,4,7.0,7.0,4
Ryan Succop,TB,1,1,2,50.0%,5,5,7.0,7.0,4
Justin Tucker,BAL,1,1,1,100.0%,4,4,7.0,7.0,4
Mike Badgley,LAC,1,1,2,50.0%,4,4,6.0,6.0,4
Dan Bailey,MIN,1,1,2,50.0%,4,4,6.0,6.0,4
Tyler Bass,BUF,1,1,1,100.0%,3,4,6.0,6.0,4
Mason Crosby,GB,1,1,1,100.0%,3,4,6.0,6.0,4
Joey Slye,CAR,1,1,2,50.0%,4,4,6.0,6.0,4
Jake Elliott,PHI,1,1,1,100.0%,2,2,5.0,5.0,4
Wil Lutz,NO,1,0,0,0.0%,5,5,5.0,5.0,4
Sam Sloman,LAR,1,1,1,100.0%,2,2,5.0,5.0,4
Nick Folk,NE,1,1,1,100.0%,1,1,4.0,4.0,4
Elliott Fry,ATL,1,1,1,100.0%,1,2,4.0,4.0,4
Dustin Hopkins,WAS,1,1,2,50.0%,2,2,4.0,4.0,4
Zane Gonzalez,ARI,1,0,0,0.0%,3,3,3.0,3.0,4
Matt Prater,DET,1,0,0,0.0%,3,3,3.0,3.0,4
Cairo Santos,CHI,1,1,1,100.0%,0,0,3.0,3.0,4
Robbie Gould,SF,1,0,0,0.0%,2,2,2.0,2.0,4
Greg Zuerlein,DAL,1,0,0,0.0%,2,2,2.0,2.0,4
Jason Sanders,MIA,1,5,5,100.0%,4,4,19.0,19.0,5
Graham Gano,NYG,1,4,4,100.0%,2,2,14.0,14.0,5
Ryan Succop,TB,1,4,4,100.0%,1,1,13.0,13.0,5
Greg Zuerlein,DAL,1,3,3,100.0%,4,4,13.0,13.0,5
Ka'imi Fairbairn,HOU,1,3,3,100.0%,3,3,12.0,12.0,5
